rank,release_date,title,production_budget,worlwide_gross,domestic_gross
3253,05/03/99,Cruel Intentions,11000000,75803716,38230075
4766,05/03/99,Lock Stock and Two Smoking Barrels,1350000,28356188,3897569
697,05/11/99,The Insider,68000000,60265197,28965197
1130,05/11/99,The Bone Collector,48000000,151463090,66488090
2295,05/11/99,The Bachelor,21000000,36882378,21731001
2988,5/14/1999,Tea with Mussolini,14000000,14395874,14395874
272,5/19/1999,Star Wars Ep. I: The Phantom Menace,115000000,1027044677,474544677
2900,5/21/1999,The Love Letter,15000000,8322608,8322608
5143,5/21/1999,Trekkies,375000,617172,617172
1248,5/28/1999,Notting Hill,42000000,363728226,116089678
2757,5/28/1999,The Thirteenth Floor,16000000,11810854,11810854
4212,5/28/1999,The Loss of Sexual Innocence,4000000,399793,399793
696,06/08/99,Mystery Men,68000000,33462011,29762011
1129,06/08/99,The Thomas Crown Affair,48000000,124304264,69304264
1276,06/08/99,The Sixth Sense,40000000,672806292,293506292
3443,06/08/99,Illuminata,10000000,836641,836641
175,6/16/1999,Tarzan,145000000,448191819,171091819
787,6/18/1999,The General's Daughter,60000000,149705852,102705852
3291,6/18/1999,An Ideal Husband,10700000,31341183,18542974
4680,6/18/1999,Lola rennt,1750000,22879194,7267324
1707,6/25/1999,Big Daddy,30000000,228641283,163479795
90,6/30/1999,Wild Wild West,175000000,221229335,113805681
2285,6/30/1999,South Park: Bigger Longer & Uncut,21000000,52037603,52037603
492,07/05/99,The Mummy,80000000,416385488,155385488
2185,7/14/1999,Muppets From Space,24000000,16304786,16304786
5026,7/14/1999,The Blair Witch Project,600000,248300000,140539099
731,7/16/1999,Eyes Wide Shut,65000000,104267443,55691208
1947,7/16/1999,Lake Placid,27000000,31770413,31770413
3841,7/16/1999,The Wood,6000000,25059640,25059640
4227,7/16/1999,The Velocity of Gary,4000000,34145,34145
514,7/23/1999,The Haunting,80000000,180188905,91188905
588,7/23/1999,Inspector Gadget,75000000,97387965,97387965
3386,7/23/1999,Drop Dead Gorgeous,10000000,10571408,10571408
807,7/28/1999,Deep Blue Sea,60000000,165048228,73648228
639,7/30/1999,Runaway Bride,70000000,310138178,152257509
5062,7/30/1999,Twin Falls Idaho,500000,1027228,985341
5204,08/01/99,Sticky Fingers of Time,250000,20628,18195
756,08/10/99,Random Hearts,64000000,63200000,31054924
2975,08/10/99,Superstar,14000000,30628981,30628981
3420,08/10/99,The Limey,10000000,6030047,3193102
4553,08/10/99,Boys Don't Cry,2000000,20741000,11540607
5014,08/10/99,Naturally Native,700000,10508,10508
1688,08/12/99,Cradle Will Rock,32000000,2899970,2899970
931,8/13/1999,Bowfinger,55000000,98699769,66458769
2127,8/13/1999,Brokedown Palace,25000000,11115766,10115014
2764,8/13/1999,Detroit Rock City,16000000,5825314,4217115
1363,8/20/1999,Mickey Blue Eyes,40000000,53864342,33864342
1410,8/20/1999,Universal Soldier II: The Return,40000000,10717421,10447421
3735,8/25/1999,In Too Deep,7000000,15471229,14026509
252,8/27/1999,The 13th Warrior,125000000,61698899,32698899
1639,8/27/1999,The Astronaut's Wife,34000000,10672566,10672566
2268,8/27/1999,Dudley Do-Right,22000000,9818792,9818792
2884,8/27/1999,The Muse,15000000,11614954,11614954
3755,8/27/1999,A Dog of Flanders,7000000,2165637,2165637
3912,8/27/1999,Stiff Upper Lips,5700000,69582,69582
3807,09/04/99,Go!,6500000,28383441,16875273
4694,09/04/99,Foolish,1600000,6026908,6026908
2281,09/07/99,Arlington Road,21500000,24419219,24419219
3123,09/07/99,American Pie,12000000,234723148,101800948
2793,9/15/1999,American Beauty,15000000,356258047,130058047
1071,9/17/1999,For Love of the Game,50000000,46112640,35188640
1492,9/17/1999,Blue Streak,36000000,117448157,68208190
3218,9/17/1999,Breakfast of Champions,12000000,178287,178287
4293,9/17/1999,Taxman,3500000,9871,9871
5197,9/17/1999,Sugar Town,250000,178095,178095
1286,9/24/1999,Double Jeopardy,40000000,177835231,116735231
1879,9/24/1999,Mumford,28700000,4559569,4559569
2645,9/24/1999,One Man's Hero,18000000,229311,229311
2910,9/24/1999,Jakob the Liar,15000000,4956401,4956401
1511,10/06/99,Austin Powers: The Spy Who Shagged Me,35000000,310332636,206040085
1670,10/09/99,Stigmata,32000000,89441732,50041732
3163,10/09/99,A Stir of Echoes,12000000,21133087,21133087
4202,10/09/99,Love Stinks,4000000,2793776,2793776
1725,10/11/99,Pokemon: The First Movie,30000000,163644662,85744662
3073,10/11/99,Light It Up,13000000,5871603,5871603
778,10/12/99,The Green Mile,60000000,290701374,136801374
2572,10/12/99,Deuce Bigalow: Male Gigolo,18000000,92935067,65535067
3233,10/12/99,Diamonds,11900000,81897,81897
740,10/15/1999,Fight Club,65000000,100851897,37030102
1082,10/15/1999,The Story of Us,50000000,27100030,27100030
3406,10/15/1999,The Straight Story,10000000,6197866,6197866
3706,10/15/1999,The Omega Code,7200000,12678312,12610552
1683,10/22/1999,Bringing Out The Dead,32000000,16640210,16640210
2302,10/22/1999,Molly,21000000,17396,17396
2450,10/22/1999,Three to Tango,20000000,10570375,10570375
2920,10/22/1999,Crazy in Alabama,15000000,1954202,1954202
3518,10/22/1999,The Best Man,9000000,34572780,34102780
3810,10/22/1999,Bats,6500000,10155691,10155691
5056,10/22/1999,Beyond the Mat,500000,2047570,2047570
2487,10/29/1999,Mononoke-hime,20000000,150350000,2374107
2538,10/29/1999,House on Haunted Hill,19000000,65090541,40846082
3058,10/29/1999,Being John Malkovich,13000000,32382381,22858926
4320,10/29/1999,Dreaming of Joseph Lees,3250000,7680,7680
3388,11/06/99,Le Violon rouge,10000000,10019109,10019109
202,11/19/1999,The World is Not Enough,135000000,361730660,126930660
396,11/19/1999,Toy Story 2,90000000,511358276,245852179
646,11/19/1999,Sleepy Hollow,70000000,207068340,101068340
348,11/24/1999,End of Days,100000000,212026975,66889043
1626,11/24/1999,Ride With the Devil,35000000,630779,630779
1960,11/24/1999,Flawless,27000000,4485485,4485485
5156,11/24/1999,Tumbleweeds,312000,1788168,1350248
844,12/02/99,My Favorite Martian,60000000,36850101,36850101
1575,12/02/99,Blast from the Past,35000000,26613620,26613620
1756,12/02/99,Message in a Bottle,30000000,52880016,52880016
4124,12/02/99,Tango,4500000,5428387,1687311
1405,12/03/99,The Deep End of the Ocean,40000000,13508635,13508635
1831,12/03/99,Wing Commander,30000000,11578022,11578022
2296,12/03/99,The Rage: Carrie 2,21000000,17760244,17760244
3051,12/03/99,Baby Geniuses,13000000,27151490,27151490
3375,12/03/99,The Corruptor,10000000,15164492,15164492
4360,12/05/99,Trippin',3000000,9017070,9017070
1103,12/11/99,The Messenger: The Story of Joan of Arc,50000000,14271297,14271297
2210,12/11/99,Anywhere But Here,23000000,18653615,18653615
2924,12/11/99,Felicia's Journey,15000000,1970268,824295
3337,12/11/99,Dogma,10000000,43948865,30651422
313,12/17/1999,Stuart Little,105000000,298815224,140015224
425,12/17/1999,Bicentennial Man,90000000,87420776,58220776
604,12/17/1999,Anna and the King,75000000,39251128,39251128
1487,12/17/1999,Magnolia,37000000,48446802,22450975
2472,12/17/1999,Topsy Turvy,20000000,6201757,6201757
2180,12/21/1999,Girl Interrupted,24000000,28871190,28871190
803,12/22/1999,Any Given Sunday,60000000,100230832,75530832
994,12/22/1999,Man on the Moon,52000000,47407635,34580635
1175,12/24/1999,Galaxy Quest,45000000,90523726,71423726
1306,12/24/1999,The Talented Mr. Ripley,40000000,128792135,81292135
1500,12/24/1999,Snow Falling on Cedars,36000000,14378353,14378353
2114,12/24/1999,Angela's Ashes,25000000,13038660,13038660
2189,12/24/1999,Play it to the Bone,24000000,8427204,8427204
5354,12/24/1999,Pink Narcissus,27000,8231,8231
1455,12/29/1999,The Hurricane,38000000,73956241,50699241
528,01/01/00,Fantasia 2000 (IMAX),80000000,60507228,60507228
4186,01/03/00,3 Strikes,4000000,9821335,9821335
2879,01/09/00,Highlander: Endgame,15000000,12801190,12801190
4375,01/09/00,Whipped,3000000,4142507,4142507
4880,01/12/00,Panic,1000000,1425707,779137
868,1/14/2000,Supernova,60000000,14816494,14218868
5358,1/14/2000,The Terrorist,25000,195043,195043
3522,1/21/2000,Down to You,9000000,20035310,20035310
3777,1/21/2000,The Boondock Saints,7000000,411874,30471
1503,1/28/2000,Isn't She Great,36000000,2954405,2954405
2869,1/28/2000,Eye of the Beholder,15000000,18260865,16500786
4219,1/28/2000,The Big Tease,4000000,185577,185577
1644,02/06/00,Big Momma's House,33000000,173559438,117559438
1361,2/18/2000,Hanging Up,40000000,51867723,36037909
2169,2/18/2000,The Whole Nine Yards,24000000,85527867,57262492
2204,2/18/2000,Pitch Black,23000000,53182088,39235088
3525,2/18/2000,Boiler Room,9000000,28773637,16963963
1589,2/23/2000,Wonder Boys,35000000,33422485,19389454
1499,2/25/2000,Reindeer Games,36000000,23360779,23360779
1114,03/03/00,What Planet Are You From?,50000000,6291602,6291602
2106,03/03/00,The Next Best Thing,25000000,24355762,14983572
2750,03/03/00,Drowning Mona,16000000,15980376,15427192
4574,03/03/00,Ghost Dog: The Way of the Samurai,2000000,10672492,3330230
403,03/11/00,Charlie's Angels,90000000,259736090,125305545
854,03/11/00,The Legend of Bagger Vance,60000000,39235486,30695227
1015,3/17/2000,Erin Brockovich,50000000,257805243,125548685
2201,3/17/2000,Final Destination,23000000,112036870,53302314
2035,3/22/2000,Romeo Must Die,25000000,91036760,55973336
2888,3/24/2000,Here on Earth,15000000,10845127,10494147
2897,3/24/2000,Whatever it Takes,15000000,8735529,8735529
378,3/31/2000,The Road to El Dorado,95000000,65700000,50802661
2382,3/31/2000,High Fidelity,20000000,47881663,27277055
2830,3/31/2000,The Skulls,15000000,35007180,35007180
1299,04/02/00,Scream 3,40000000,161838076,89138076
3432,04/02/00,Gun Shy,10000000,1638202,1638202
417,04/08/00,Hollow Man,90000000,191200000,73209340
722,04/08/00,Space Cowboys,65000000,128874043,90454043
1183,04/08/00,Coyote Ugly,45000000,113916474,60786269
4180,04/08/00,Saving Grace,4000000,27786849,12178602
4218,04/08/00,Psycho Beach Party,4000000,267972,267972
1241,4/14/2000,28 Days,43000000,62063972,37035515
1869,4/14/2000,Keeping the Faith,29000000,45336404,37036404
3624,4/14/2000,American Psycho,8000000,28674417,15070285
4374,4/14/2000,East is East,3000000,30438635,4170647
4285,4/19/2000,La otra conquista,3500000,886410,886410
763,4/21/2000,U-571,62000000,127630030,77086030
2848,4/21/2000,Love and Basketball,15000000,27709625,27441122
3000,4/21/2000,Gossip,14000000,12591270,5108820
3865,4/21/2000,The Virgin Suicides,6000000,10619770,4859475
889,4/28/2000,The Flintstones in Viva Rock Vegas,58000000,59431365,35231365
1700,4/28/2000,Frequency,31000000,68079671,44983704
2834,4/28/2000,Where the Heart Is,15000000,40862054,33771174
3412,05/04/00,Black and White,10000000,5241315,5241315
319,05/05/00,Gladiator,103000000,457683805,187683805
1640,05/05/00,I Dreamed of Africa,34000000,14291999,6543194
3728,05/05/00,Michael Jordan to the MAX,7000000,18642318,18642318
4314,05/05/00,Human Traffic,3300000,5422740,104257
4773,05/05/00,The Basket,1300000,609042,609042
4892,05/05/00,Luminarias,1000000,428535,428535
